route	methods	auth_check	cron_check	sig_check
timezone-clients/route.ts	GET,POST	yes	-	-
rate-cards/route.ts	GET,POST	yes	-	-
notes/route.ts	GET,POST	yes	-	-
scope-analyzer/route.ts	GET,POST	yes	-	-
offboarding-checklists/route.ts	DELETE,GET,PATCH,POST	yes	-	-
faq-generator/route.ts	GET,POST	yes	-	-
profile/route.ts	GET,PATCH	yes	-	-
brand-guide/route.ts	GET,PATCH	yes	-	-
knowledge/route.ts	DELETE,GET,PATCH,POST	yes	-	-
retrospectives/route.ts	GET,POST	yes	-	-
content-calendar/route.ts	GET,POST	yes	-	-
network-contacts/route.ts	DELETE,GET,PATCH,POST	yes	-	-
knowledge-base/route.ts	GET,POST	yes	-	-
email-responses/route.ts	DELETE,GET,POST	yes	-	-
digest-preferences/route.ts	GET,POST	yes	-	-
outreach-dms/route.ts	GET,POST	yes	-	-
competitor-analysis/route.ts	GET,POST	yes	-	-
business-plans/route.ts	GET,POST	yes	-	-
project-templates-v2/route.ts	DELETE,GET,PATCH,POST	yes	-	-
content-briefs/route.ts	GET,POST	yes	-	-
positioning-statements/route.ts	DELETE,GET,POST	yes	-	-
revenue-goals/route.ts	GET,POST	yes	-	-
packages/route.ts	GET,POST	yes	-	-
health-dashboard/route.ts	GET,POST	yes	-	-
budgets/route.ts	GET,POST	yes	-	-
comm-templates/route.ts	GET,POST	yes	-	-
client-avatars/generate/route.ts	POST	yes	-	-
client-avatars/[id]/route.ts	DELETE,PATCH	yes	-	-
savings/suggestions/route.ts	GET	yes	-	-
savings/[id]/route.ts	DELETE,PATCH	yes	-	-
onboarding-flows/run/route.ts	GET,POST	yes	-	-
onboarding-flows/[id]/route.ts	DELETE,PUT	yes	-	-
mood-journal/insights/route.ts	GET	yes	-	-
linkedin-posts/generate/route.ts	POST	yes	-	-
pricing-page/contact/route.ts	POST	-	-	-
opportunity-eval/analyze/route.ts	POST	yes	-	-
questionnaires/generate/route.ts	POST	yes	-	-
questionnaires/[id]/route.ts	DELETE,GET,PUT	yes	-	-
testimonials/token/route.ts	GET	yes	-	-
testimonials/submit/route.ts	POST	-	-	-
testimonials/requests/route.ts	GET,POST	yes	-	-
testimonials/polish/route.ts	POST	yes	-	-
testimonials/generate-request/route.ts	POST	yes	-	-
testimonials/generate-token/route.ts	POST	yes	-	-
testimonials/request/route.ts	POST	yes	-	-
testimonials/display/route.ts	GET	yes	-	-
testimonials/[id]/route.ts	DELETE,PATCH,PUT	yes	-	-
testimonials/eligible-projects/route.ts	GET	yes	-	-
tool-subscriptions/optimize/route.ts	POST	yes	-	-
tool-subscriptions/[id]/route.ts	DELETE,PATCH	yes	-	-
tool-subscriptions/stats/route.ts	GET	yes	-	-
project-velocity/analyze/route.ts	POST	yes	-	-
kb/settings/route.ts	GET,PUT	yes	-	-
kb/articles/route.ts	GET,POST	yes	-	-
activity-feed/route.ts	GET	yes	-	-
outreach-sequences/route.ts	DELETE,GET,POST	yes	-	-
email-signatures/route.ts	DELETE,GET,PATCH,POST	yes	-	-
payment-chasers/route.ts	GET,POST	yes	-	-
proposal-templates/route.ts	GET,POST	yes	-	-
rate-planner/route.ts	GET,POST	yes	-	-
profile-optimizer/route.ts	GET,POST	yes	-	-
daily-tasks/route.ts	GET,POST	yes	-	-
negotiation/route.ts	GET,POST	yes	-	-
time-entries/route.ts	GET,POST	yes	-	-
tax-quarterly/route.ts	GET,PATCH	yes	-	-
client-dates/route.ts	DELETE,GET,PATCH,POST	yes	-	-
brief-extractor/route.ts	DELETE,GET	yes	-	-
annual-review/route.ts	DELETE,GET,POST	yes	-	-
project-templates/route.ts	GET,POST	yes	-	-
webhooks/route.ts	GET,POST	yes	-	-
auto-reminders/route.ts	GET,POST	yes	-	-
cover-letters/route.ts	GET,POST	yes	-	-
kickoff-emails/route.ts	DELETE,GET,POST	yes	-	-
retainer-contracts/route.ts	GET,POST	yes	-	-
health-score/route.ts	GET	yes	-	-
booking-requests/route.ts	GET,POST	yes	-	-
insurance/route.ts	GET,POST	yes	-	-
credit-notes/route.ts	GET,POST	yes	-	-
currency/route.ts	GET,PATCH	yes	-	-
tools/scope-generator/route.ts	POST	yes	-	-
tools/win-back/route.ts	POST	yes	-	-
tools/negotiation/route.ts	POST	yes	-	-
tools/timezone-planner/route.ts	POST	yes	-	-
tools/newsletter/route.ts	POST	yes	-	-
tools/scope-creep/route.ts	POST	yes	-	-
tools/case-study/route.ts	POST	yes	-	-
tools/call-prep/route.ts	POST	yes	-	-
tools/cold-pitch/route.ts	POST	yes	-	-
tools/business-plan/route.ts	GET,POST	yes	-	-
tools/meeting-notes/route.ts	GET,POST	yes	-	-
messages/unread/route.ts	GET	yes	-	-
portal/my-token/route.ts	GET	yes	-	-
portal/[token]/route.ts	GET,POST	-	-	-
portal/time-approval/route.ts	POST	-	-	-
portal/tokens/route.ts	DELETE,GET,PATCH,POST	yes	-	-
