table_name	rls_enabled	rls_forced	policy_count
social_bios	t	f	1
sop_documents	t	f	1
sow_documents	t	f	1
sprint_plans	t	f	1
standup_logs	t	f	1
standups	t	f	1
status_reports	t	f	1
status_updates	t	f	1
sub_assignments	t	f	1
sub_payments	t	f	1
subcontractor_assignments	t	f	2
subcontractor_payments	t	f	1
subcontractors	t	f	2
subscription_events	t	f	1
subscriptions	t	f	1
support_tickets	t	f	2
survey_responses	t	f	3
tax_estimates	t	f	1
tax_events	t	f	1
tax_payments	t	f	1
tax_profiles	t	f	1
tax_settings	t	f	1
team_members	t	f	1
team_project_assignments	t	f	1
team_time_entries	t	f	1
testimonial_requests	t	f	2
testimonials	t	f	6
time_blocks	t	f	2
time_entries	t	f	2
time_off	t	f	1
time_off_log	t	f	1
time_reports	t	f	1
time_tags	t	f	1
timezone_clients	t	f	1
tool_subscriptions	t	f	1
user_onboarding_status	t	f	2
user_settings	t	f	2
vendor_payments	t	f	1
vendors	t	f	1
webhooks	t	f	2
weekly_plans	t	f	1
weekly_reviews	t	f	1
weekly_summaries	t	f	1
weekly_tasks	t	f	1
weekly_time_blocks	t	f	1
wellbeing_checkins	t	f	1
wellbeing_logs	t	f	1
wellness_logs	t	f	1
wfh_deduction_profiles	t	f	1
winback_sends	t	f	1
work_boundaries	t	f	1
work_journal	t	f	1
work_journal_entries	t	f	1
work_location_logs	t	f	1
work_logs	t	f	1
work_rhythm_settings	t	f	1
workflow_runs	t	f	1
workflows	t	f	1
